Date,Hour,Total,Flow,Dam,Wind,Solar,Jeo,ren/tot
12.08.2022,19,45.25286,1.63274,8.65381,5.36844,0.01908,0.91838,36.66608033171826
12.08.2022,20,46.18325,1.7214800000000001,9.09726,5.29825,8.999999999999999e-05,0.9504400000000001,36.95608256240087
12.08.2022,21,45.28876,1.69676,9.04019,4.95787,0.0,0.97025,36.79736429083066
12.08.2022,22,44.34422,1.63228,8.304590000000001,4.73949,0.0,0.98712,35.322483967470845
12.08.2022,23,42.952589999999994,1.40285,7.79048,4.45866,0.0,0.99988,34.11172644071056
13.08.2022,0,40.677510000000005,1.19876,5.98146,4.0794,0.0,1.01639,30.17886296383431
13.08.2022,1,39.210860000000004,1.14256,5.2296700000000005,3.7526100000000002,0.0,1.02964,28.447425024597777
13.08.2022,2,37.962559999999996,1.04409,4.20249,3.57165,0.0,1.03361,25.95146375797628
13.08.2022,3,36.974779999999996,1.02469,3.60233,3.43528,0.0,1.0356500000000002,24.605825917016954
13.08.2022,4,36.27076,0.9984,3.55042,3.41378,0.0003,1.05511,24.863030165345307
13.08.2022,5,35.19478,0.9767100000000001,2.88884,3.48237,0.00675,1.06542,23.924258086000254
13.08.2022,6,34.22094,0.9813,1.69601,3.57287,0.09509000000000001,1.07557,21.685085213907044
13.08.2022,7,34.88793,1.0458699999999999,1.81253,3.40523,0.49018,1.06897,22.42259715609381
13.08.2022,8,37.647220000000004,1.1151099999999998,3.72104,2.9400999999999997,0.88512,1.0311700000000001,25.7456991512255
13.08.2022,9,39.21082,1.19133,4.759720000000001,2.6945,1.0758800000000002,1.01547,27.382492893543162
13.08.2022,10,39.94057,1.27354,5.477,2.72358,1.15442,0.99722,29.10764668606382
13.08.2022,11,40.49526,1.27838,6.01393,2.75856,1.20827,0.9661900000000001,30.1895332935262
13.08.2022,12,39.53953,1.24974,6.02694,2.72344,1.2026700000000001,0.94471,30.722418804674714
13.08.2022,13,40.4483,1.32452,6.45139,2.8676,1.20567,0.92632,31.584763760158026
13.08.2022,14,41.35087,1.30806,7.28616,3.03104,1.14832,0.9195399999999999,33.11446651545663
13.08.2022,15,41.40605,1.34619,7.46158,3.39294,1.04793,0.91251,34.20067840327681
13.08.2022,16,41.62225,1.35393,7.385770000000001,3.6230300000000004,0.93979,0.9208999999999999,34.17263603000799
13.08.2022,17,41.90596,1.33738,7.5974200000000005,3.89007,0.68165,0.9319,34.454335373774995
13.08.2022,18,42.46921,1.3304200000000002,7.8144,4.03621,0.24896000000000001,0.9428099999999999,33.84287110591414
13.08.2022,19,42.795480000000005,1.34631,8.303780000000001,3.6775100000000003,0.01672,0.96335,33.432666253538926
13.08.2022,20,43.97782,1.4804000000000002,9.425930000000001,3.0895,8.999999999999999e-05,0.9877,34.07085662727257
13.08.2022,21,43.19594,1.48597,9.2593,2.5906100000000003,0.0,1.00281,33.19453170830406
13.08.2022,22,42.429730000000006,1.4638499999999999,8.82505,2.2302199999999996,0.0,1.0194,31.90809840175744
13.08.2022,23,40.80275,1.32213,8.370959999999998,2.0341199999999997,0.0,1.03281,31.272450999013536
14.08.2022,0,38.89394,1.0555999999999999,7.08967,1.8831600000000002,0.0,1.04935,28.482020592411054
14.08.2022,1,37.44611,0.9717100000000001,6.80136,1.74439,0.0,1.05825,28.24247965943592
14.08.2022,2,35.95286,0.99898,5.69616,1.68432,0.0,1.0653,26.269843344868807
14.08.2022,3,34.9206,0.8923,4.9515,1.69007,0.0,1.07883,24.663665572756482
14.08.2022,4,34.20174,0.89101,4.2281,1.66421,0.00028000000000000003,1.07725,22.983772170655644
14.08.2022,5,32.89636,0.839,3.8490900000000003,1.70045,0.00643,1.08393,22.73473417727676
14.08.2022,6,31.49505,0.87697,2.8899,1.6544100000000002,0.09523999999999999,1.0907,20.978598224165385
14.08.2022,7,31.23621,0.98111,2.97615,1.5498399999999999,0.46398,1.08787,22.598612315642647
